Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,16.671875,16.750000,16.343750,16.367188,11.023653,51322400
1997-01-02,16.468750,16.500000,15.953125,16.296875,10.976296,97639200
1997-01-03,16.625000,17.312500,16.578125,17.296875,11.649816,95648000
1997-01-06,17.390625,17.718750,17.218750,17.359375,11.691912,120549600
1997-01-07,17.320313,17.937500,17.125000,17.921875,12.070765,96153600
1997-01-08,18.000000,18.203125,17.720699,17.781250,11.976050,125510400
1997-01-09,17.921875,18.000000,17.718750,17.875000,12.039199,77420000
1997-01-10,17.765625,18.093750,17.687500,18.062500,12.165478,111907200
1997-01-13,18.218750,18.470699,18.000000,18.359375,12.365428,116600000
1997-01-14,18.484375,18.718750,18.312500,18.390625,12.386479,113872800
1997-01-15,18.437500,18.484375,17.687500,17.750000,11.955005,227419200
1997-01-16,17.968750,18.250000,17.757813,17.796875,11.986581,133381600
1997-01-17,17.750000,18.171875,17.750000,18.007813,12.128643,97962400
1997-01-20,18.046875,18.242188,17.998037,18.156250,12.228620,58668800
1997-01-21,18.140625,18.546875,18.109375,18.507813,12.465408,64573600
1997-01-22,18.562500,19.031250,18.343750,19.015625,12.807426,88490400
1997-01-23,19.156250,19.484375,18.953125,18.968750,12.775858,99123200
1997-01-24,19.000000,19.328125,18.796875,18.812500,12.670622,114352000
1997-01-27,18.861324,19.031250,18.656250,18.765625,12.639048,69532000
1997-01-28,19.078125,19.218750,18.718750,18.875000,12.712716,58843200
1997-01-29,19.062500,19.343750,18.937500,19.343750,13.032739,74363200
1997-01-30,19.578125,20.031250,19.468750,20.015625,13.485411,88168000
1997-01-31,20.078125,20.500000,20.031250,20.281250,13.664380,100647200
1997-02-03,20.437500,20.625000,20.250000,20.484375,13.801229,77328000
1997-02-04,20.531250,20.609375,20.296875,20.593750,13.874925,89346400
1997-02-05,20.359375,20.375000,19.375000,19.656250,13.243288,187991200
1997-02-06,19.609375,19.671875,18.843750,19.140625,12.895889,180376800
1997-02-07,19.406250,19.656250,19.281250,19.546875,13.169599,117951200
1997-02-10,19.718750,19.828125,18.873037,18.953125,12.769566,126322400
1997-02-11,19.265625,19.343750,18.312500,18.968750,12.780093,151842400
1997-02-12,18.968750,19.625000,18.812500,19.593750,13.201178,112742400
1997-02-13,19.750000,19.875000,19.500000,19.625000,13.222233,96499200
1997-02-14,19.515625,19.625000,19.187500,19.312500,13.011689,69313600
1997-02-18,19.281250,19.390625,19.015625,19.328125,13.022212,60033600
1997-02-19,19.265625,19.468750,19.156250,19.234375,12.959049,55190400
1997-02-20,19.031250,19.125000,18.669912,18.734375,12.622181,128985600
1997-02-21,18.687500,18.705074,18.171875,18.296875,12.327414,127490400
1997-02-24,17.984375,18.687500,17.781250,18.640625,12.559017,131964800
1997-02-25,18.843750,18.921875,18.437500,18.609375,12.537961,99163200
1997-02-26,18.562500,18.593750,18.093750,18.296875,12.327414,94690400
1997-02-27,18.265625,18.281250,17.453125,17.466787,11.768152,101312000
1997-02-28,17.437500,18.078125,17.125000,17.734375,11.948439,149775200
1997-03-03,17.640625,18.250000,17.562500,18.234375,12.285311,82524000
1997-03-04,18.328125,18.703125,18.250000,18.296875,12.327414,120270400
1997-03-05,18.500000,18.703125,18.453125,18.687500,12.590601,99617600
1997-03-06,18.687500,18.781250,18.140625,18.171875,12.243199,115592000
1997-03-07,18.312500,18.500000,17.812500,17.937500,12.085297,86213600
1997-03-10,17.906250,18.218750,17.687500,18.093750,12.190568,82115200
1997-03-11,18.078125,18.265625,17.937500,17.984375,12.116874,80986400
1997-03-12,17.890625,17.984375,17.500000,17.843750,12.022128,98388000
1997-03-13,17.703125,17.937500,17.500000,17.656250,11.895799,90898400
1997-03-14,17.765625,17.906250,17.187500,17.234375,11.611562,81598400
1997-03-17,17.015625,17.093750,16.421875,17.046875,11.485237,161466400
1997-03-18,17.156250,17.250000,16.859375,17.093750,11.516817,95223200
1997-03-19,16.937500,17.000000,16.500000,16.671875,11.232580,134926400
1997-03-20,16.703125,16.906250,16.406250,16.656250,11.222056,107778400
1997-03-21,16.703125,16.773438,16.296875,16.312500,10.990459,82396800
1997-03-24,16.203125,16.390625,15.718750,16.328125,11.000981,169920800
1997-03-25,16.406250,16.875000,16.250000,16.656250,11.222056,115583200
1997-03-26,16.843750,17.593750,16.781250,17.578125,11.843168,127732800
1997-03-27,17.812500,17.984375,17.156250,17.390625,11.716830,140616000
1997-03-31,17.343750,17.531250,17.125000,17.390625,11.716830,107790400
1997-04-01,17.203125,17.468750,17.171875,17.414063,11.732629,90782400
1997-04-02,17.359375,17.421875,17.062500,17.125000,11.537874,102557600
1997-04-03,17.031250,17.625000,17.015625,17.578125,11.843168,102904800
1997-04-04,17.484375,18.171875,17.453125,18.125000,12.211616,125324800
1997-04-07,18.250000,18.640625,18.117188,18.140625,12.222147,98964000
1997-04-08,18.187500,18.343750,18.046875,18.326162,12.347149,84747200
1997-04-09,18.437500,18.531250,17.750000,17.781250,11.980021,81705600
1997-04-10,17.843750,17.843750,17.126949,17.156250,11.558928,123181600
1997-04-11,16.906250,16.906250,16.218750,16.312500,10.990459,192564000
1997-04-14,16.515625,16.734375,16.304688,16.718750,11.264160,154790400
1997-04-15,16.515625,16.687500,16.031250,16.375000,11.032566,199704800
1997-04-16,16.375000,16.812500,16.359375,16.750000,11.285214,100414400
1997-04-17,16.906250,17.367188,16.812500,17.250000,11.622087,130948000
1997-04-18,17.546875,17.546875,17.125000,17.140625,11.548400,106872000
1997-04-21,17.125000,17.517574,17.031250,17.296875,11.653675,89620000
