Date,Open,High,Low,Close,Adj Close,Volume
1997-12-31,52.000000,52.593750,51.593750,52.312500,37.949463,5473000
1998-01-02,52.250000,52.875000,52.031250,52.812500,38.312191,5270000
1998-01-05,52.781250,53.406250,52.500000,53.218750,38.606907,10034000
1998-01-06,52.687500,53.593750,52.531250,52.625000,38.176182,7111200
1998-01-07,52.500000,52.500000,51.312500,52.125000,37.813450,8616400
1998-01-08,51.750000,52.750000,51.468750,52.093750,37.790783,8118800
1998-01-09,52.156250,52.437500,49.687500,50.031250,36.294571,14365600
1998-01-12,49.125000,50.562500,48.750000,50.062500,36.317245,12821400
1998-01-13,50.281250,51.218750,50.156250,51.062500,37.042675,6829000
1998-01-14,51.750000,52.000000,50.625000,51.312500,37.224026,8550800
1998-01-15,51.593750,52.468750,51.187500,51.718750,37.518730,12643400
1998-01-16,52.437500,52.593750,52.250000,52.500000,38.085491,8378200
1998-01-20,52.593750,54.187500,52.343750,54.187500,39.309669,9941200
1998-01-21,50.125000,51.000000,49.812500,50.062500,36.317245,27815600
1998-01-22,49.906250,50.312500,49.250000,49.687500,36.045193,13167000
1998-01-23,49.906250,50.000000,49.468750,49.593750,35.977180,7823000
1998-01-26,49.625000,49.968750,49.000000,49.062500,35.591785,5615800
1998-01-27,48.375000,48.937500,47.812500,48.250000,35.002392,14039400
1998-01-28,48.562500,49.000000,48.250000,48.500000,35.183735,10384800
1998-01-29,48.500000,49.656250,48.500000,49.093750,35.614487,8827200
1998-01-30,49.156250,49.781250,49.000000,49.375000,35.818497,5800200
1998-02-02,50.000000,50.625000,50.000000,50.281250,36.475937,6875400
1998-02-03,50.062500,50.125000,49.343750,49.687500,36.045193,7171200
1998-02-04,49.562500,49.906250,49.031250,49.156250,35.659813,8568600
1998-02-05,49.562500,49.781250,49.187500,49.781250,36.113194,7553400
1998-02-06,49.562500,49.812500,48.875000,49.000000,35.618011,8165000
1998-02-09,49.062500,49.812500,49.000000,49.000000,35.618011,6896800
1998-02-10,49.031250,51.218750,48.750000,50.437500,36.662914,16328600
1998-02-11,50.812500,51.625000,50.750000,51.343750,37.321686,8415000
1998-02-12,50.937500,51.625000,50.781250,51.437500,37.389816,7253600
1998-02-13,51.343750,51.812500,51.187500,51.187500,37.208092,4488200
1998-02-17,51.531250,51.843750,50.750000,51.000000,37.071819,7663600
1998-02-18,51.000000,51.812500,50.656250,51.375000,37.344391,6504600
1998-02-19,51.500000,52.312500,51.375000,51.375000,37.344391,8553400
1998-02-20,51.500000,51.718750,50.781250,51.312500,37.298954,7501600
1998-02-23,51.718750,51.968750,51.406250,51.437500,37.389816,5252000
1998-02-24,51.312500,51.437500,50.875000,51.250000,37.253529,5144800
1998-02-25,51.281250,52.625000,51.250000,52.625000,38.253014,7696200
1998-02-26,52.375000,52.937500,52.156250,52.750000,38.343868,6429600
1998-02-27,52.406250,52.812500,51.937500,52.218750,37.957710,5890400
1998-03-02,52.093750,52.281250,50.000000,50.968750,37.049103,6980400
1998-03-03,50.000000,51.250000,49.906250,51.062500,37.117226,7940400
1998-03-04,51.000000,51.656250,49.500000,49.500000,35.981464,6014000
1998-03-05,50.093750,50.187500,49.156250,49.468750,35.958752,10724000
1998-03-06,49.562500,49.906250,49.062500,49.062500,35.663425,10410200
1998-03-09,48.562500,49.125000,47.937500,48.062500,34.936543,12928400
1998-03-10,48.687500,49.093750,48.343750,48.750000,35.436283,8334200
1998-03-11,48.937500,49.937500,48.718750,49.562500,36.026905,6806800
1998-03-12,49.593750,50.312500,49.093750,50.125000,36.435768,5903400
1998-03-13,50.437500,50.562500,49.500000,49.812500,36.208603,5850600
1998-03-16,49.843750,50.687500,49.625000,50.625000,36.799213,6842400
1998-03-17,50.656250,50.906250,49.781250,50.437500,36.662914,7170200
1998-03-18,50.312500,51.156250,50.281250,50.781250,36.912804,7189400
1998-03-19,50.843750,51.500000,50.718750,51.437500,37.389816,5170000
1998-03-20,51.500000,51.625000,50.718750,51.031250,37.094517,8215600
1998-03-23,50.781250,51.687500,50.687500,50.687500,36.844650,6193600
1998-03-24,51.125000,51.843750,51.062500,51.750000,37.616985,4807400
1998-03-25,52.500000,53.343750,52.437500,53.000000,38.525600,13490400
1998-03-26,52.937500,53.312500,52.500000,52.531250,38.184860,5713400
1998-03-27,52.625000,52.750000,51.937500,52.187500,37.935001,5661400
